Persistent Homology Analysis Results
Song: yamor_100-7500hz_midi_1990hz
Genre: sanjuanito
==================================================

Intervallic Transition Matrix (ITM):
  Non-zero entries: 60 / 144
  ITM entropy (Shannon): 3.199244

H0:
  n_bars: 72
  n_finite: 71
  n_infinite: 1
  persistent_mean: 10212.537109
  persistent_std: 50002.827173
  persistent_entropy: 1.69364

H1:
  n_bars: 30
  n_finite: 30
  n_infinite: 0
  persistent_mean: 419.517603
  persistent_std: 1024.939341
  persistent_entropy: 2.200333


Raw Persistence Diagrams:
--------------------------------------------------
H0 (72 bars):
  [0.000000, 7.632019)
  [0.000000, 15.584985)
  [0.000000, 18.767391)
  [0.000000, 18.767391)
  [0.000000, 20.163294)
  [0.000000, 20.807423)
  [0.000000, 23.741423)
  [0.000000, 43.155563)
  [0.000000, 43.155563)
  [0.000000, 45.061394)
  [0.000000, 50.547165)
  [0.000000, 50.950218)
  [0.000000, 53.660656)
  [0.000000, 53.660656)
  [0.000000, 54.388275)
  [0.000000, 55.478348)
  [0.000000, 57.421417)
  [0.000000, 78.625893)
  [0.000000, 116.431816)
  [0.000000, 168.020370)
  [0.000000, 168.020370)
  [0.000000, 169.403351)
  [0.000000, 169.403351)
  [0.000000, 179.002136)
  [0.000000, 186.143829)
  [0.000000, 195.480713)
  [0.000000, 198.315079)
  [0.000000, 240.277328)
  [0.000000, 240.277328)
  [0.000000, 243.266113)
  [0.000000, 243.929916)
  [0.000000, 244.369278)
  [0.000000, 255.753113)
  [0.000000, 302.210541)
  [0.000000, 334.408997)
  [0.000000, 351.551544)
  [0.000000, 360.024353)
  [0.000000, 360.990295)
  [0.000000, 419.187469)
  [0.000000, 474.417816)
  [0.000000, 574.467651)
  [0.000000, 581.305237)
  [0.000000, 595.363281)
  [0.000000, 596.106323)
  [0.000000, 603.702454)
  [0.000000, 687.341797)
  [0.000000, 749.022461)
  [0.000000, 1139.245361)
  [0.000000, 1231.297363)
  [0.000000, 1404.118774)
  [0.000000, 1493.546997)
  [0.000000, 1551.532959)
  [0.000000, 1551.532959)
  [0.000000, 1631.626465)
  [0.000000, 2528.661621)
  [0.000000, 2528.661621)
  [0.000000, 2738.656738)
  [0.000000, 2774.751221)
  [0.000000, 2787.867432)
  [0.000000, 3453.056396)
  [0.000000, 5280.394043)
  [0.000000, 6078.807617)
  [0.000000, 7329.064453)
  [0.000000, 7562.297363)
  [0.000000, 9133.983398)
  [0.000000, 9133.983398)
  [0.000000, 11581.979492)
  [0.000000, 12020.666992)
  [0.000000, 12678.513672)
  [0.000000, 303378.062500)
  [0.000000, 303378.062500)
  [0.000000, inf)

H1 (30 bars):
  [12678.513672, 18267.966797)
  [3453.056396, 5057.323242)
  [2774.751221, 3255.305908)
  [1631.626465, 3103.065918)
  [749.022461, 825.338928)
  [687.341797, 819.361328)
  [603.702454, 773.824402)
  [596.106323, 765.509705)
  [595.363281, 764.766602)
  [581.305237, 773.824402)
  [474.417816, 604.421082)
  [360.990295, 480.554657)
  [360.024353, 480.554657)
  [351.551544, 480.554657)
  [302.210541, 542.487854)
  [255.753113, 480.554657)
  [244.369278, 480.554657)
  [243.929916, 480.554657)
  [243.266113, 480.554657)
  [198.315079, 336.040741)
  [195.480713, 336.040741)
  [186.143829, 336.040741)
  [179.002136, 338.806702)
  [78.625893, 110.956696)
  [57.421417, 107.321312)
  [55.478348, 107.321312)
  [50.950218, 88.485001)
  [50.547165, 88.081947)
  [45.061394, 86.311127)
  [20.163294, 37.534782)

