title,artist,album,url,description,release_year,fetch_date,mb_recording_id,mb_work_ids,composer,matched_title,matched_artist,match_score,artist_country
Ecuador San Juanito,Ecuador Manta,Alegrando El Alma,https://www.youtube.com/watch?v=IXVUwOqt5XE,,,2026-04-18 23:06:41,fee978b0-38d7-4d22-8e0a-ddc3ebb061dc,,,Ecuador San Juanito,Ecuador Manta,,
Naupa Llacta,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=Y75gLE0ihyA,,,2026-04-18 23:06:41,e336e726-ee8f-4b8e-8b99-dabf34ba7793,,,Naupa Llacta,Ecuador Causary,,
Ñuca Llacta,Ñanda Mañachi,Folklore Ecuatorianisimo,https://www.youtube.com/watch?v=xRei8rigCOA,,,2026-04-18 23:06:41,d46604a3-4b30-4c40-97ad-823fb094aadb,,,Nuca llacta,Ñanda Mañachi,,
Selección de San Juanitos,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=9nuMFtP71jY,,,2026-04-18 23:06:41,96ec770d-719c-4b81-9e98-4018894d6ccd,,,Seleccion de San Juanitos,Inkari,,
Tabacundeña (Sanjuanito),Fusión Inka,Sueños,https://www.youtube.com/watch?v=1hLCpigJ024,,,2026-04-18 23:06:41,5b8ede85-ce55-487c-bb3c-0ba81a9a79ee,,,Tabacundeña,Fusion Inka,,
Yana Cuchi,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=C28-TX26Zvk,,,2026-04-18 23:06:41,efd03b18-9b89-4ef6-b9d0-031ee68a1435,,,Yana Cuchi,Ecuador Causary,,
Carmelita,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=6493VpdphCE,,,2026-04-18 23:06:41,6f54fefd-e24a-4376-8e61-5e5f66680620,,,Carmelita,Ecuador Causary,,
Mashicuna,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=gQy3yD6N86s,,,2026-04-18 23:06:41,f5643259-21df-438d-b7c2-be5d49e55783,,,Mashicuna,Ecuador Causary,,
Cuatro Esquinas,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=DPS-SIGWyh8,,,2026-04-18 23:06:41,31947e59-db62-4ee2-a085-34c1de5daea3,,,Cuatro Esquinas,Ecuador Manta,,
San Juanito Irlandes,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=sDF0JJf3cpU,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
Ñuca Llacta,Ñanda Mañachi,Traditional Music Of The Andes,https://www.youtube.com/watch?v=4aP5F1xawMw,,,2026-04-18 23:06:41,d46604a3-4b30-4c40-97ad-823fb094aadb,,,Nuca llacta,Ñanda Mañachi,,
San Juanito,Wayra,South-American Folklore,https://www.youtube.com/watch?v=mB7xIVmQFXM,,,2026-04-18 23:06:41,a10d0e73-fd72-4393-9cc0-3b9af1ed62a6,,,San Juanito,Wayra de los Andes,,
Ecuador San Juanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 90",https://www.youtube.com/watch?v=iVSzp456ee0,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
Vasija de Barro,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=6WcEg4V75KE,,,2026-04-18 23:06:41,80996a19-8d6d-4d66-92cb-fbd949d1f0b7,,,Vasija de Barro,Ecuador Manta,,
Fiesta,Jayac,16 Éxitos al Amor,https://www.youtube.com/watch?v=GXvbMpZWhYc,,,2026-04-18 23:06:41,1d3a8b46-cb36-4e33-b309-cd601d6cc596,,,Andean Fiesta,"Jayac, Jean-Pierre Fabien",,EC
Sin Palabras,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=wMX5UhHdigA,,,2026-04-18 23:06:41,0ecdc075-9eaf-41ea-afe4-73f283be867e,,,Taquirari De La Esperanza,Ecuador Manta,,
SANJUANITO,Music festival Andina,MIX MUSICA ANDINA,https://www.youtube.com/watch?v=fr3tJRPxuO4,,,2026-04-18 23:06:41,86c00173-f4a8-4967-aaaf-7aa41eab49a2,,,Sanjuanito,Los Huayanay,,EC
Cuitas de Amor Sanjuanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 97",https://www.youtube.com/watch?v=BkK3e8ZH4T4,,,2026-04-18 23:06:41,5ea1c150-c01b-458b-adcb-e639e657a695,,,Cuitas de Amor,Hnos. Miño Naranjo,,EC
Ponchito Negro (Sanjuanito),Los Huayanay,Aires de Ecuador,https://www.youtube.com/watch?v=2btnT6uZywo,,,2026-04-18 23:06:41,86c00173-f4a8-4967-aaaf-7aa41eab49a2,,,Sanjuanito,Los Huayanay,,EC
San Juanito,Wayra Ñan,"Tradicional, Vol. 6",https://www.youtube.com/watch?v=bj_7VdDSKts,,,2026-04-18 23:06:41,a10d0e73-fd72-4393-9cc0-3b9af1ed62a6,,,San Juanito,Wayra de los Andes,,
Ecuador San Juanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 89",https://www.youtube.com/watch?v=xtTxcWDTLQ4,,,2026-04-18 23:06:41,1286fb77-0fbc-4a7d-bb3f-a8e11e71da37,,,Ecuador's San Juanito,Ecuador Manta,,
Sanjuanito,INKAmerica,INKAmerica,https://www.youtube.com/watch?v=m-qttYUEHnw,,,2026-04-18 23:06:41,86c00173-f4a8-4967-aaaf-7aa41eab49a2,,,Sanjuanito,Los Huayanay,,EC
Rosalia-ecuador,Yarina,500 Years,https://www.youtube.com/watch?v=idT-_AAsBHI,,,2026-04-18 23:06:41,7066298b-c0ac-4ce4-af38-ef3380ad0b74,,,Rosalia-ecuador,Yarina,,EC
Jatarishun Huambritos,Llaqtaymanta,"Llaqtaymanta - Peru, Ecuador, Bolivia. Musica Tradicional de los Andes",https://www.youtube.com/watch?v=1miorGIBq7s,,,2026-04-18 23:06:41,76b76472-b8e9-412a-bfd1-52cf6dcb1f70,,,Jatarishun Huambritos,Llaqtaymanta,,
San Junatio De Mi Tierra,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=KayvG66vbVA,,,2026-04-18 23:06:41,b6710b5f-f4db-4284-9585-7f62f64e2ddd,,,San Juanito De Mi Tierra,Ecuador Manta,,
Penas mias,Ecuador Manta,Los Sanjuanitos de mi Vida,https://www.youtube.com/watch?v=R-To_QP-oXg,,,2026-04-18 23:06:41,caa2a5b9-561e-419e-bca2-f34ccf00f3ab,,,Las Penas,Ecuador Manta,,
Oro verde (Sanjuanito Moderno),David Morales Sk,Oro verde (Sanjuanito Moderno),https://www.youtube.com/watch?v=ENxncwgShg4,,,2026-04-18 23:06:41,7802f46a-6bbc-455e-8493-422f84341740,,,Oro verde,Walter Purizaca,,
Zambiceña (Sanjuanito),Yoder Chamba,Éxitos Inmortales,https://www.youtube.com/watch?v=nstuI47C34Q,,,2026-04-18 23:06:41,dde7887d-afd4-4ab8-a65e-c5d1ccd18cda,,,Zambicena,Jayac,,EC
Oruro,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=WRcHNrXNsrY,,,2026-04-18 23:06:41,96cd8717-d29a-4786-a984-9601ddbaaad8,,,Oruro,Ecuador Causary,,
Pobre Corazón (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=Pm076Cctoj0,,,2026-04-18 23:06:41,c7857b94-5c15-4fd7-aa53-2320769a4efd,,,Pobre Corazón (Sanjuanito),Los Brillantes,,
Mariposita,Jayac,Energía Vital,https://www.youtube.com/watch?v=shiLJO5gIMU,,,2026-04-18 23:06:41,ab2158fa-9716-4574-9cd8-f14410b198d9,,,Mariposita,Jayac,,EC
